skiff -> phpht, jugum, deeve, wanna, xylyl, zocco
skiff -> phpht, urubu, dewed, malax, gynny, zocco
skiff -> phpht, urubu, jewed, malax, gynny, zocco
skiff -> phpht, urubu, walla, exeem/exeme, gynny, zocco
skiff -> phpht, urubu, walla, exeem/exeme, gynny, zocco
skiff -> phpht, urubu, walla, vexed, gynny, zocco
skiff -> phpht, urubu, dwaal, exeem/exeme, gynny, zocco
skiff -> phpht, urubu, dwaal, exeem/exeme, gynny, zocco
skiff -> phpht, urubu, jewel, addax, gynny, zocco
skiff -> phpht, urubu, emmew, addax, gynny, zocco
skiff -> phpht, urubu, malwa/mawla, vexed, gynny, zocco
skiff -> phpht, urubu, malwa/mawla, vexed, gynny, zocco
skiff -> phpht, blurb, emmew, addax, gynny, zocco
skiff -> phpht, crumb, ovolo, addax, gynny, jeeze
skiff -> phpht, durum, laval, oxbow, gynny, jeeze
skiff -> phpht, durum, eeven, wagga, xylyl, zocco
skiff -> phpht, durum, convo, wagga, xylyl, jeeze
skiff -> bundu, laval, cwtch, exeem/exeme, gyppy, zorro
skiff -> bundu, laval, cwtch, exeem/exeme, gyppy, zorro
skiff -> urubu, deeve, cwtch, malax, gynny, zoppo
skiff -> urubu, laval, cwtch, exeem/exeme, gynny, zoppo
skiff -> urubu, laval, cwtch, exeem/exeme, gynny, zoppo
skiff -> urubu, level/levee, cwtch, addax, gynny, zoppo
skiff -> urubu, level/levee, cwtch, addax, gynny, zoppo
skiff -> urubu, ovolo, cwtch, addax, gynny, jeeze
skiff -> urubu, ovolo, cwtch, addax, gynny, mezze
skiff -> urubu, ovolo, cwtch, addax, gyppy, jeeze
skiff -> urubu, ovolo, cwtch, addax, gyppy, mezze
skiff -> urubu, ovolo, cwtch, addax, gyppy, neeze
skiff -> urubu, ovolo, cwtch, addax, pygmy, jeeze
skiff -> urubu, ovolo, cwtch, addax, pygmy, neeze
skiff -> urubu, ovolo, cwtch, exeem/exeme, gynny, pzazz
skiff -> urubu, ovolo, cwtch, exeem/exeme, gyppy, zanza
skiff -> urubu, ovolo, cwtch, exeem/exeme, gyppy, zanja
skiff -> urubu, ovolo, cwtch, exeem/exeme, gynny, pzazz
skiff -> urubu, ovolo, cwtch, exeem/exeme, gyppy, zanza
skiff -> urubu, ovolo, cwtch, exeem/exeme, gyppy, zanja
skiff -> urubu, ovolo, cwtch, axman, gyppy, jeeze
