click -> mamma, boffo, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, gynny
click -> mamma, gobbo, pfftt, reeve/verre/verve/eever, wynds, zhuzh
click -> mamma, gobbo, pfftt, reeve/verre/verve/eever, synds, zhuzh
click -> mamma, gobbo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, gobbo, pfftt, reeve/verre/verve/eever, wynds, zhuzh
click -> mamma, gobbo, pfftt, verde, wynns, zhuzh
click -> mamma, gobbo, pfftt, vexed, wynns, zhuzh
click -> mamma, gobbo, pfftt, vexer, synds, zhuzh
click -> mamma, gobbo, pfftt, vexer, wynns, zhuzh
click -> mamma, gobbo, pfftt, vexer, wynds, zhuzh
click -> mamma, doggo/goodo, brere/rebbe/breer, pfftt, wynns, zhuzh
click -> mamma, doggo/goodo, brere/rebbe/breer, pfftt, wynns, zhuzh
click -> mamma, doggo/goodo, brere/rebbe/breer, pfftt, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, urubu, wynns, heeze
click -> mamma, doggo/goodo, pfftt, urubu, wynns, jeeze
click -> mamma, doggo/goodo, pfftt, uhuru, wynns, jeeze
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, breve/bever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, breve/bever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, vexer, wynns, zhuzh
click -> mamma, doggo/goodo, phpht, urubu, wynns, feeze
click -> mamma, doggo/goodo, phpht, urubu, wynns, jeeze
click -> mamma, doggo/goodo, brere/rebbe/breer, pfftt, wynns, zhuzh
click -> mamma, doggo/goodo, brere/rebbe/breer, pfftt, wynns, zhuzh
click -> mamma, doggo/goodo, brere/rebbe/breer, pfftt, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, urubu, wynns, heeze
click -> mamma, doggo/goodo, pfftt, urubu, wynns, jeeze
click -> mamma, doggo/goodo, pfftt, uhuru, wynns, jeeze
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, reeve/verre/verve/eever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, breve/bever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, breve/bever, wynns, zhuzh
click -> mamma, doggo/goodo, pfftt, vexer, wynns, zhuzh
click -> mamma, doggo/goodo, phpht, urubu, wynns, feeze
click -> mamma, doggo/goodo, phpht, urubu, wynns, jeeze
click -> mamma, bodoh, pfftt, susus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, susus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, susus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, susus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, susus, vexer, gynny
click -> mamma, bodoh, pfftt, susus, gynny, jeeze
click -> mamma, bodoh, pfftt, susus, gynny, reeze
click -> mamma, bodoh, pfftt, jujus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, jujus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, jujus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, jujus, reeve/verre/verve/eever, gynny
click -> mamma, bodoh, pfftt, jujus, vexer, gynny
click -> mamma, bodoh, pfftt, jujus, gynny, reeze
click -> mamma, bodoh, pfftt, rurus, gynny, jeeze
click -> mamma, hogoh/hoogo, pfftt, urubu, deeve, wynns
click -> mamma, hogoh/hoogo, pfftt, urubu, vexed, wynns
click -> mamma, hogoh/hoogo, pfftt, urubu, synds, jeeze
click -> mamma, hogoh/hoogo, pfftt, urubu, wynns, jeeze
click -> mamma, hogoh/hoogo, pfftt, urubu, wynds, jeeze
click -> mamma, hogoh/hoogo, pfftt, urubu, deeve, wynns
click -> mamma, hogoh/hoogo, pfftt, urubu, vexed, wynns
click -> mamma, hogoh/hoogo, pfftt, urubu, synds, jeeze
click -> mamma, hogoh/hoogo, pfftt, urubu, wynns, jeeze
click -> mamma, hogoh/hoogo, pfftt, urubu, wynds, jeeze
click -> mamma, brere/rebbe/breer, dodos, pfftt, gynny, zhuzh
click -> mamma, brere/rebbe/breer, dojos, pfftt, gynny, zhuzh
click -> mamma, brere/rebbe/breer, pfftt, susus, gynny, vozhd
click -> mamma, brere/rebbe/breer, pfftt, jujus, gynny, vozhd
click -> mamma, brere/rebbe/breer, pfftt, dowds/woods, gynny, zhuzh
click -> mamma, brere/rebbe/breer, pfftt, dowds/woods, gynny, zhuzh
click -> mamma, brere/rebbe/breer, dodos, pfftt, gynny, zhuzh
click -> mamma, brere/rebbe/breer, dojos, pfftt, gynny, zhuzh
click -> mamma, brere/rebbe/breer, pfftt, susus, gynny, vozhd
click -> mamma, brere/rebbe/breer, pfftt, jujus, gynny, vozhd
click -> mamma, brere/rebbe/breer, pfftt, dowds/woods, gynny, zhuzh
click -> mamma, brere/rebbe/breer, pfftt, dowds/woods, gynny, zhuzh
click -> mamma, brere/rebbe/breer, dodos, pfftt, gynny, zhuzh
click -> mamma, brere/rebbe/breer, dojos, pfftt, gynny, zhuzh
click -> mamma, brere/rebbe/breer, pfftt, susus, gynny, vozhd
click -> mamma, brere/rebbe/breer, pfftt, jujus, gynny, vozhd
click -> mamma, brere/rebbe/breer, pfftt, dowds/woods, gynny, zhuzh
click -> mamma, brere/rebbe/breer, pfftt, dowds/woods, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, boobs/obbos/bobos, pfftt, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, shush/huhus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, jujus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, swobs, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhuzh
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, pfftt, oxbow, gynny, zhush
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, susus, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, fuffs, oxbow, gynny
click -> mamma, erred/reerd/drere/dered/reede/dreer/reded/deere/dreed, phpht, jujus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, susus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, sudds, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, jujus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, susus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, sudds, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, jujus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, susus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, sudds, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, jujus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, susus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, sudds, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, jujus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, susus, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, sudds, oxbow, gynny
click -> mamma, effer/ferer/refer/freer/frere, phpht, jujus, oxbow, gynny
