chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, wanna, xylyl
chord -> pfftt, susus, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, bussu/bubus, keeve, walla, immix, gynny
chord -> pfftt, bussu/bubus, laval, weeke, immix, gynny
chord -> pfftt, bussu/bubus, laval, immix, gynny, jeeze
chord -> pfftt, bussu/bubus, kaval, immix, gynny, jeeze
chord -> pfftt, bussu/bubus, walla, immix, gynny, jeeze
chord -> pfftt, bussu/bubus, walla, xviii, gynny, jeeze
chord -> pfftt, bussu/bubus, walla, xviii, gynny, mezze
chord -> pfftt, bussu/bubus, jewel, xviii, gynny, zamak/mazak
chord -> pfftt, bussu/bubus, jewel, xviii, gynny, zamak/mazak
chord -> pfftt, bussu/bubus, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, bussu/bubus, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, bussu/bubus, keeve, walla, immix, gynny
chord -> pfftt, bussu/bubus, laval, weeke, immix, gynny
chord -> pfftt, bussu/bubus, laval, immix, gynny, jeeze
chord -> pfftt, bussu/bubus, kaval, immix, gynny, jeeze
chord -> pfftt, bussu/bubus, walla, immix, gynny, jeeze
chord -> pfftt, bussu/bubus, walla, xviii, gynny, jeeze
chord -> pfftt, bussu/bubus, walla, xviii, gynny, mezze
chord -> pfftt, bussu/bubus, jewel, xviii, gynny, zamak/mazak
chord -> pfftt, bussu/bubus, jewel, xviii, gynny, zamak/mazak
chord -> pfftt, bussu/bubus, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, bussu/bubus, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, jujus, keeve, wagga, xylyl, zimbi
chord -> pfftt, jujus, keeve, walla, immix, gynny
chord -> pfftt, jujus, keeve, walla, gynny, zimbi
chord -> pfftt, jujus, keeve, wanna, xylyl, zimbi
chord -> pfftt, jujus, keeve, gnawn, xylyl, zimbi
chord -> pfftt, jujus, laval, weeke, immix, gynny
chord -> pfftt, jujus, laval, weeke, gynny, zimbi
chord -> pfftt, jujus, eeven, wagga, xylyl, zimbi
chord -> pfftt, jujus, vanga, weeke, xylyl, zimbi
chord -> pfftt, jujus, walla, xviii, gynny, mezze
chord -> pfftt, kukus/sukuk, laval, immix, gynny, jeeze
chord -> pfftt, kukus/sukuk, eeven, wagga, xylyl, zimbi
chord -> pfftt, kukus/sukuk, walla, immix, gynny, jeeze
chord -> pfftt, kukus/sukuk, walla, xviii, gynny, jeeze
chord -> pfftt, kukus/sukuk, walla, xviii, gynny, mezze
chord -> pfftt, kukus/sukuk, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, kukus/sukuk, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, kukus/sukuk, laval, immix, gynny, jeeze
chord -> pfftt, kukus/sukuk, eeven, wagga, xylyl, zimbi
chord -> pfftt, kukus/sukuk, walla, immix, gynny, jeeze
chord -> pfftt, kukus/sukuk, walla, xviii, gynny, jeeze
chord -> pfftt, kukus/sukuk, walla, xviii, gynny, mezze
chord -> pfftt, kukus/sukuk, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, kukus/sukuk, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, busks, laval, immix, gynny, jeeze
chord -> pfftt, busks, walla, immix, gynny, jeeze
chord -> pfftt, busks, walla, xviii, gynny, jeeze
chord -> pfftt, busks, walla, xviii, gynny, mezze
chord -> pfftt, busks, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, busks, malwa/mawla, xviii, gynny, jeeze
chord -> pfftt, jukus, eeven, wagga, xylyl, zimbi
chord -> pfftt, jukus, walla, xviii, gynny, mezze
chord -> pfftt, mumms/mumus, walla, xviii, gynny, jeeze
chord -> pfftt, mumms/mumus, walla, xviii, gynny, jeeze
chord -> pfftt, musks, walla, xviii, gynny, jeeze
chord -> pfftt, nunus/sunns, keeve, wagga, xylyl, zimbi
chord -> pfftt, nunus/sunns, keeve, wagga, xylyl, zimbi
