smock -> pfftt, hudud, laval, wirri, gynny, jeeze
smock -> pfftt, uhuru, vivid, walla, gynny, jeeze
smock -> pfftt, uhuru, vivid, wanna, xylyl, jeeze
smock -> pfftt, uhuru, vivid, nawab/bwana, xylyl, jeeze
smock -> pfftt, uhuru, vivid, nawab/bwana, xylyl, jeeze
smock -> pfftt, uhuru, vivid, gnawn, xylyl, jeeze
smock -> pfftt, uhuru, villi, addax, gynny, jeeze
smock -> pfftt, uhuru, walla, xviii, gynny, jeeze
smock -> pfftt, uhuru, dwaal, xviii, gynny, jeeze
smock -> pfftt, burgh/brugh, vivid, wanna, xylyl, jeeze
smock -> pfftt, burgh/brugh, vivid, wanna, xylyl, jeeze
smock -> pfftt, blurb, dawah, xviii, gynny, jeeze
smock -> pfftt, level/levee, wirri, addax, gynny, zhuzh
smock -> pfftt, level/levee, wirri, addax, gynny, zhuzh
smock -> pfftt, belve/bevel, wirri, addax, gynny, zhuzh
smock -> pfftt, belve/bevel, wirri, addax, gynny, zhuzh
smock -> pfftt, villi, weber, addax, gynny, zhuzh
smock -> phpht, fluff, dewed, xviii, gynny, bazar/braza/zabra
smock -> phpht, fluff, dewed, xviii, gynny, bazar/braza/zabra
smock -> phpht, fluff, dewed, xviii, gynny, bazar/braza/zabra
smock -> phpht, fluff, jewed, xviii, gynny, bazar/braza/zabra
smock -> phpht, fluff, jewed, xviii, gynny, bazar/braza/zabra
smock -> phpht, fluff, jewed, xviii, gynny, bazar/braza/zabra
smock -> phpht, fluff, adraw/award, xviii, gynny, jeeze
smock -> phpht, fluff, adraw/award, xviii, gynny, jeeze
smock -> phpht, fluff, wirri, addax, gynny, jeeze
smock -> phpht, bluff, adraw/award, xviii, gynny, jeeze
smock -> phpht, bluff, adraw/award, xviii, gynny, jeeze
smock -> phpht, bluff, wirri, addax, gynny, jeeze
smock -> phpht, urubu, vivid, wagga, xylyl, feeze
smock -> phpht, urubu, vivid, wagga, xylyl, jeeze
smock -> phpht, urubu, vivid, wagga, xylyl, neeze
smock -> phpht, urubu, vivid, walla, gynny, feeze
smock -> phpht, urubu, vivid, walla, gynny, jeeze
smock -> phpht, urubu, vivid, wanna, xylyl, feeze
smock -> phpht, urubu, vivid, wanna, xylyl, jeeze
smock -> phpht, urubu, vivid, gnawn, xylyl, feeze
smock -> phpht, urubu, vivid, gnawn, xylyl, jeeze
smock -> phpht, urubu, vivid, ajwan/jawan, xylyl, feeze
smock -> phpht, urubu, vivid, ajwan/jawan, xylyl, feeze
smock -> phpht, urubu, villi, addax, gynny, feeze
smock -> phpht, urubu, villi, addax, gynny, jeeze
smock -> phpht, urubu, walla, xviii, gynny, feeze
smock -> phpht, urubu, walla, xviii, gynny, jeeze
smock -> phpht, urubu, dwaal, xviii, gynny, feeze
smock -> phpht, urubu, dwaal, xviii, gynny, jeeze
smock -> phpht, gruff, vivid, wanna, xylyl, jeeze
smock -> phpht, gruff, vivid, nawab/bwana, xylyl, jeeze
smock -> phpht, gruff, vivid, nawab/bwana, xylyl, jeeze
